Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
202010;Ejerlejlighed;København;1720;København V;723584.6252697557;6174874.500450117;723666.6790065435;6175080.631078841;55,66811772;12,55536556;;49;49;TRUE;e;1;9999;9999;9999;1877;;2756;2595000;2595000;2475000;168;168
201608;Ejerlejlighed;København;1720;København V;723582,7438;6174873.583233358;723664.7975613293;6175079.713861168;55,66811036;12,55533496;;49;49;TRUE;e;1;9999;9999;9999;1877;;2164;2245000;2245000;2185000;79;79
201803;Ejerlejlighed;København;2400;København NV;721904.5801172402;6178554.360483728;721986.6328088181;6178760.518543931;55,70189014;12,5316837;;77;77;TRUE;d;1;9999;9999;9999;1900;;2681;3198000;3098000;3000000;170;170
201104;Ejerlejlighed;København;2900;Hellerup;723815,7448;6181570.550198848;723897.8172319385;6181776.722248097;55,72806163;12,56450014;;39;39;TRUE;c;1;9999;9999;9999;1932;;;995000;995000;850000;160;160
201204;Ejerlejlighed;København;2100;København Ø;725215.7368566247;6179299,561;725297.8122022513;6179505.715241182;55,70704764;12,5848795;;67;67;TRUE;e;1;9999;9999;9999;1913;;;1749000;1749000;1650000;36;36
202102;Ejerlejlighed;København;2100;København Ø;725218.7393004629;6179300.015291009;725300.8146660576;6179506.169489392;55,70705032;12,58492756;;67;67;FALSE;c;1;9999;9999;9999;1913;;3613;3495000;3495000;3625000;;
201802;Ejerlejlighed;København;2300;København S;727409.4401457993;6174976.390187429;727491.5181227366;6175182.511614565;55,66725649;12,61613612;;40;40;FALSE;d;1;9999;9999;9999;1938;;1759;995000;995000;995000;0;0
201807;Ejerlejlighed;København;2300;København S;727409.4401457993;6174976.390187429;727491.5181227366;6175182.511614565;55,66725649;12,61613612;;40;40;TRUE;d;1;9999;9999;9999;1938;;1759;1500000;1500000;1500000;15;15
201908;Ejerlejlighed;København;2100;København Ø;724274.7083192864;6179785.947373388;724356.7790248297;6179992.107050267;55,7118454;12,57033157;;47;47;TRUE;e;1;9999;9999;9999;1944;;1871;1995000;1995000;1975000;65;65
201510;Ejerlejlighed;København;2100;København Ø;725220,9301;6178400.840232687;725303.0031792966;6178606.988784427;55,69898569;12,58422334;;139;139;TRUE;d;1;9999;9999;9999;1902;;3972;6375000;6100000;6100000;72;72
